H,1,1,-0.00093439,0.6,6,2
He,2,2,-0.00151523,0.35,5,1
Li,3,1,-0.042137,0.9,12,2.45
Be,4,2,-0.1431999,0.7,10,2.1
B,5,3,-0.3497708,0.5,10,1.4
C,6,4,-0.555615,0.5,8,1.5
N,7,5,-0.79846173,0.4,8,1.5
O,8,6,-1.066733,0.35,7,1.45
F,9,7,-1.4272925,0.3,6,1.3
Ne,10,8,-0.7976874,0.35,6,2.55
Na,11,1,-0.0038167,0.9,11,2.5
Mg,12,2,-0.00413273,0.9,10,3.05
Al,13,3,-0.0163136,0.9,12,2.6
Si,14,4,-0.0408342,0.7,8,2.5
P,15,5,-0.065424175,0.5,10,1.95
S,16,6,-0.10078135,0.5,8,1.7
Cl,17,7,-0.15564,0.5,6,1.75
Ar,18,8,-0.25327,0.5,7,3.05